title,hash_title,allowed_hashes,best_doc_hash,best_doc_sim
How to Eliminate 90 Percent of Heart Disease Risk,6efc3c30973b,['6efc3c30973b'],30ead19aa4bd,0.4955501071050009
"Which Rice Has the Least Amount of Arsenic: Black, Brown, Red, White, or Wild?",48e0078cdb15,"['41e3187b6b71', '48e0078cdb15', 'b64d9dbe0b9a', '98ff783db1be', '2946f8f86b01', 'fd74667b107f']",5359a8f70890,0.8145729833498456
Lycopene Supplements Put to the Test,fc4b41fcea5d,['fc4b41fcea5d'],f2a163212fbc,0.6158649454123146
Foods That May Block Cancer Formation,2d8bc429dcfd,['2d8bc429dcfd'],d92656d3d6e6,0.7322816737919237
What Is the Best Food for Labor and Delivery?,84f45c4b576d,['84f45c4b576d'],e313c8ab598e,0.535635877644216
Heart Disease: There Is a Cure,c12f4b403d7a,['c12f4b403d7a'],b744d0ad1b26,0.5627920347243379
Bacteria and Kosher and Organic Chicken,1d6613ceac20,['1d6613ceac20'],ba32dbc83ff0,0.7176202337798642
How Not to Die from Kidney Disease,a04f53eb52dd,['a04f53eb52dd'],005638a6cbec,0.5168469231363482
Eating Chicken May Lead to a Smaller Penis,f99fc1a7bc99,['f99fc1a7bc99'],51ad964daa88,0.536433741242944
Does Coconut Oil Help with Abdominal Fat?,2ff22a5261cd,['2ff22a5261cd'],ee946fb9d4e8,0.7524281397869552
What Should We Drink?,6d241518cf3b,['6d241518cf3b'],25eef65722d5,0.41491986101197437
Volume 54 Is Out Now,a80493fe9db4,['a80493fe9db4'],167aa9a544ec,0.31492802839279066
Sunflower Seeds May Aggravate Acne,e6fa1cb27d9f,['e6fa1cb27d9f'],8df4366c7614,0.742738881687406
Reversing Diabetic Blindness with Diet,fa914b0bd5f8,['fa914b0bd5f8'],76c29e5454fb,0.7105786709661281
Do Flaxseeds Offer Sufficient Omega-3’s for Our Heart?,8be09b99c076,['8be09b99c076'],fcd056f4496c,0.5298205488761263
Phosphate Additives in Chicken Banned Elsewhere,dc6f1d568f11,['dc6f1d568f11'],dd9f01949e74,0.7714060931851353
Is Seafood Safe from Microplastic Contamination?,fa25cfd5f3bc,"['ab1c36b0be32', 'fa25cfd5f3bc']",46114097d120,0.6969389488883952
The Top Four Anti-Inflammatory Spices,7bfcf6dc9e90,['7bfcf6dc9e90'],326c2ce0147d,0.5994987608429789
Using Diet to Treat Asthma and Eczema,da4fa7b1a2fd,['da4fa7b1a2fd'],62c1b38ea95c,0.6963646490530935
Are Raisins a Good Snack Choice?,888817ca2b20,['888817ca2b20'],993589a1df04,0.7253050112683141
Check Out Our New Shirts (and Flash Sale!),5fed8552cccc,['5fed8552cccc'],9198d4dc2bf6,0.5296237115700172
The Effects of Too Much Arsenic in the Diet,d94ccebc02bd,['d94ccebc02bd'],5a5f4acbf73c,0.6754333310683702
How Probiotics Affect Mental Health,e6e90915c660,['e6e90915c660'],05e671dd4c29,0.7975686179870681
Our Tax Dollars Subsidize Unhealthy Foods,faf3b3adf984,['faf3b3adf984'],e79a80bfea2d,0.7275603611684598
